Chart_26,Axis,CategoryPlotTests|LineChartTests|StatisticalBarRendererTests|BoxAndWhiskerRendererTests|AreaChartTests|BarChartTests|StatisticalLineAndShapeRendererTests|LayeredBarRendererTests|GroupedStackedBarRendererTests|BarChart3DTests|LineChart3DTests|GanttChartTests|IntervalBarRendererTests|StackedBarChartTests|MinMaxCategoryRendererTests|WaterfallChartTests|LevelRendererTests|StackedAreaChartTests|StackedBarChart3DTests
Closure_4,NamedType,TypeCheckTest
Closure_6,TypeValidator,LooseTypeCheckTest|TypeCheckTest
Closure_7,ChainableReverseAbstractInterpreter,ClosureReverseAbstractInterpreterTest|SemanticReverseAbstractInterpreterTest
Closure_10,NodeUtil,PeepholeFoldConstantsTest
Closure_12,MaybeReachingVariableUse,FlowSensitiveInlineVariablesTest
Closure_13,PeepholeOptimizationsPass,IntegrationTest
Closure_17,TypedScopeCreator,TypeCheckTest
Closure_18,Compiler,IntegrationTest
Closure_19,ChainableReverseAbstractInterpreter,TypeInferenceTest
Closure_31,Compiler,CommandLineRunnerTest
Closure_33,PrototypeObjectType,TypeCheckTest
Closure_35,TypeInference,TypeCheckTest
Closure_36,InlineVariables,IntegrationTest
Closure_37,IRFactory|NodeTraversal,IntegrationTest
Closure_38,CodeConsumer,CodePrinterTest
Closure_39,PrototypeObjectType,RecordTypeTest
Closure_41,FunctionTypeBuilder,LooseTypeCheckTest|TypeCheckTest
Closure_42,IRFactory,ParserTest
Closure_43,TypedScopeCreator,TypeCheckTest
Closure_44,CodeConsumer,CodePrinterTest
Closure_48,TypedScopeCreator,TypeCheckTest
Closure_51,CodeConsumer,CodePrinterTest
Closure_52,CodeGenerator,CodePrinterTest
Closure_56,SourceFile,JsMessageExtractorTest|JSCompilerSourceExcerptProviderTest
Closure_58,LiveVariablesAnalysis,LiveVariableAnalysisTest
Closure_59,Compiler,CommandLineRunnerTest
Closure_61,NodeUtil,PeepholeRemoveDeadCodeTest
Closure_64,Compiler,CommandLineRunnerTest
Closure_65,CodeGenerator,CodePrinterTest
Closure_67,AnalyzePrototypeProperties,RemoveUnusedPrototypePropertiesTest
Closure_70,TypedScopeCreator,LooseTypeCheckTest|TypeCheckTest
Closure_72,FunctionToBlockMutator|RenameLabels,InlineFunctionsTest
Closure_73,CodeGenerator,CodePrinterTest
Closure_75,NodeUtil,PeepholeFoldConstantsTest
Closure_77,CodeGenerator,CodePrinterTest
Closure_81,IRFactory,ParserTest
Closure_82,JSType,FunctionTypeTest|TypeCheckTest
Closure_84,IRFactory,ParserTest
Closure_90,FunctionTypeBuilder|FunctionType,TypeCheckTest
Closure_98,ReferenceCollectingCallback,InlineVariablesTest
Closure_102,Normalize,CompilerRunnerTest
Closure_106,JSDocInfoBuilder|GlobalNamespace,CollapsePropertiesTest|CheckSideEffectsTest
Closure_112,TypeInference,TypeCheckTest
Closure_113,ProcessClosurePrimitives,VarCheckTest
Closure_115,FunctionInjector,InlineFunctionsTest
Closure_117,TypeValidator,TypeCheckTest
Closure_119,GlobalNamespace,CheckGlobalNamesTest
Closure_120,ReferenceCollectingCallback,InlineVariablesTest
Closure_122,IRFactory,ParserTest
Closure_123,CodeGenerator,CodePrinterTest
Closure_128,CodeGenerator,CodePrinterTest
Closure_129,PrepareAst,IntegrationTest
Closure_131,TokenStream,ConvertToDottedPropertiesTest
Closure_140,Compiler,CrossModuleCodeMotionTest
Closure_145,CodeGenerator,CodePrinterTest
Closure_146,JSType,SemanticReverseAbstractInterpreterTest
Closure_152,FunctionType,TypeCheckTest
Closure_160,Compiler,CommandLineRunnerTest
Closure_164,ArrowType,LooseTypeCheckTest|FunctionTypeTest|TypeCheckTest
Closure_166,PrototypeObjectType,TypeInferenceTest
Closure_168,TypedScopeCreator,TypeCheckTest
Closure_172,TypedScopeCreator,TypeCheckTest
Closure_176,TypeInference,TypeCheckTest
Lang_6,CharSequenceTranslator,StringUtilsTest
Lang_17,CharSequenceTranslator,StringEscapeUtilsTest
Lang_34,ToStringStyle,ToStringBuilderTest
Lang_42,Entities,StringEscapeUtilsTest
Math_7,AbstractIntegrator,DormandPrince853IntegratorTest
Math_8,DiscreteDistribution,DiscreteRealDistributionTest
Math_10,DSCompiler,DerivativeStructureTest
Math_13,AbstractLeastSquaresOptimizer,PolynomialFitterTest
Math_14,AbstractLeastSquaresOptimizer|Weight,PolynomialFitterTest
Math_29,OpenMapRealVector,SparseRealVectorTest
Math_31,ContinuedFraction,FDistributionTest|BinomialDistributionTest
Math_32,PolygonsSet,PolyhedronsSetTest
Math_33,SimplexTableau,SimplexSolverTest
Math_39,EmbeddedRungeKuttaIntegrator,DormandPrince853IntegratorTest
Math_42,SimplexTableau,SimplexSolverTest
Math_44,AbstractIntegrator,EventStateTest
Math_48,BaseSecantSolver,RegulaFalsiSolverTest
Math_49,OpenMapRealVector,SparseRealVectorTest
Math_50,BaseSecantSolver,RegulaFalsiSolverTest
Math_51,BaseSecantSolver,RegulaFalsiSolverTest
Math_60,NormalDistributionImpl,NormalDistributionTest
Math_61,PoissonDistributionImpl,PoissonDistributionTest
Math_64,LevenbergMarquardtOptimizer,MinpackTest
Math_65,AbstractLeastSquaresOptimizer,LevenbergMarquardtOptimizerTest
Math_68,LevenbergMarquardtOptimizer,MinpackTest
Math_74,EmbeddedRungeKuttaIntegrator,AdamsMoultonIntegratorTest
Math_76,SingularValueDecompositionImpl,SingularValueSolverTest
Math_79,MathUtils,KMeansPlusPlusClustererTest
Math_83,SimplexTableau,SimplexSolverTest
Math_85,UnivariateRealSolverUtils,NormalDistributionTest
Math_87,SimplexTableau,SimplexSolverTest
Math_88,SimplexTableau,SimplexSolverTest
Math_95,FDistributionImpl,FDistributionTest
Math_100,AbstractEstimator,GaussNewtonEstimatorTest
Math_102,ChiSquareTestImpl,TestUtilsTest|ChiSquareFactoryTest|ChiSquareTestTest
Math_103,NormalDistributionImpl,NormalDistributionTest
Math_106,ProperFractionFormat,FractionFormatTest
Mockito_5,VerificationOverTimeImpl,NoJUnitDependenciesTest
Mockito_7,GenericMetadataSupport,DeepStubFailingWhenGenricNestedAsRawTypeTest
Mockito_9,CallsRealMethods,CreatingMocksWithConstructorTest
Mockito_10,ReturnsDeepStubs,DeepStubsWronglyReportsSerializationProblemsTest
Mockito_13,MockHandler,VerifyingWithAnExtraCallToADifferentMockTest
Mockito_14,MockitoCore|MockHandler,VerifyingWithAnExtraCallToADifferentMockTest
Mockito_15,FinalMockCandidateFilter,InjectMocksShouldTryPropertySettersFirstBeforeFieldAccessTest
Mockito_16,MockitoCore|Mockito,StubbingMocksThatAreConfiguredToReturnMocksTest
Mockito_17,MockSettingsImpl|MockUtil,MocksSerializationTest
Mockito_19,MockCandidateFilter|TypeBasedCandidateFilter|NameBasedCandidateFilter|FinalMockCandidateFilter|PropertyAndSetterInjection,MockInjectionUsingSetterOrPropertyTest
Mockito_20,ByteBuddyMockMaker,CreatingMocksWithConstructorTest|SpyAnnotationTest
Mockito_23,ReturnsDeepStubs,DeepStubsSerializableTest
Mockito_25,ReturnsDeepStubs,ReturnsGenericDeepStubsTest
Mockito_27,MockUtil,ListenersLostOnResetMockTest
Mockito_28,DefaultInjectionEngine,InjectionByTypeShouldFirstLookForExactTypeThenAncestorTest
Mockito_29,Same,NPEWithCertainMatchersTest
Mockito_32,SpyAnnotationEngine,SpyShouldHaveNiceNameTest
Mockito_33,InvocationMatcher,InheritedGenericsPolimorphicCallTest
Time_6,GJChronology,TestGJDate
Time_10,BaseSingleFieldPeriod,TestDays|TestMonths
Time_13,PeriodFormatterBuilder,TestISOPeriodFormat
Time_14,BasicMonthOfYearDateTimeField,TestMonthDay_Basics
Time_22,BasePeriod,TestDuration_Basics|TestPeriod_Constructors
Time_24,DateTimeParserBucket,TestDateTimeFormatter
Cli_1,CommandLine,BugCLI13Test
Cli_2,PosixParser,BugCLI51Test
Cli_3,TypeHandler,PatternOptionBuilderTest
Cli_4,Parser,OptionsTest
Cli_9,Parser,ParseRequiredTest|OptionsTest
Cli_10,Parser,ParseRequiredTest
Cli_14,GroupImpl,BugCLI144Test
Cli_15,WriteableCommandLineImpl,BugCLI158Test
Cli_23,HelpFormatter,BugCLI162Test
Cli_24,HelpFormatter,BugCLI162Test
Cli_25,HelpFormatter,BugCLI162Test
Cli_27,OptionGroup,PosixParserTest|GnuParserTest|BasicParserTest
Cli_28,Parser,ValueTest
Cli_35,Options,BugCLI252Test
Cli_37,DefaultParser,BugCLI265Test
Cli_38,DefaultParser,BugCLI265Test
Cli_39,TypeHandler,PatternOptionBuilderTest
Collections_28,AbstractPatriciaTrie,PatriciaTrieTest
Compress_1,CpioArchiveOutputStream,CpioTestCase
Compress_2,ArArchiveInputStream,ArTestCase
Compress_3,TarArchiveOutputStream,ArchiveOutputStreamTest
Compress_4,TarArchiveOutputStream|ZipArchiveOutputStream|ChangeSetPerformer|CpioArchiveOutputStream,JarArchiveOutputStreamTest|UTF8ZipFilesTest
Compress_5,ZipArchiveInputStream,Maven221MultiVolumeTest
Compress_12,TarArchiveInputStream,TarTestCase
Compress_13,ZipArchiveEntry,ZipFileTest|ZipArchiveInputStreamTest
Compress_14,TarUtils,TarArchiveInputStreamTest
